# English	Chinese	Russian	Japanese	Bavarian
Licenses	许可证	Лицензии	ライセンス	Lizenzen
A 3D first-person city with police, traffic and permanent upgrades	带有警察、交通和永久升级的三维城市	Город от первого лица с полицией и улучшениями	警察・交通・永続アップグレードのある 3D 都市	A 3D-Stadt mit Polizei und Verbesserunga
Draw a hit confirmation in 2D or world space	在二维界面或世界中显示命中提示	Показать попадание в 2D или в мире	命中マーカーを 2D またはワールドに表示	Treffer in 2D oder in da Welt zoagn
Move watermark and module list	移动水印和模块列表	Переместить водяной знак и список модулей	透かしとモジュール一覧を移動	Wossazeichn und Modullistn verschiebn
Customizable Vibe HUD	可自定义的 Vibe 界面	Настраиваемый HUD Vibe	カスタマイズ可能な Vibe HUD	Eistellbare Vibe-Anzeige
Arrange preferred inventory slots and the drop bin	排列物品栏槽位和丢弃区域	Настроить слоты инвентаря и выброс	インベントリの配置と破棄スロットを設定	Inventarplätze und Wegwerfbereich anordna
Sort tools, armour and supplies into the Inventory Editor layout	按编辑器布局整理工具、护甲和物资	Сортировать предметы по схеме инвентаря	ツール・防具・物資を設定した配置に整理	Werkzeig und Rüstung ins Layout sortiern
Highlight dropped items	高亮掉落物品	Подсветить выпавшие предметы	ドロップしたアイテムを強調	Rumliegende Sachn markiern
Assign module keys using the current keyboard layout	使用当前键盘布局分配模块按键	Назначить клавиши в текущей раскладке	現在のキーボード配列でキーを割り当て	Modultastn mitm aktuellen Layout zuateiln
Automatically aims, clicks and sword-blocks using vanilla input	使用原版输入自动瞄准、点击和格挡	Автоприцел, клики и блок через обычный ввод	通常の入力で自動照準・クリック・ガード	Automatisch zieln, klickn und blockn
Corrects movement for fake server rotations	修正虚拟服务器旋转下的移动	Корректировать движение при серверных поворотах	サーバー向け回転に合わせて移動を補正	Bewegung bei Server-Drehunga korrigiern
Show your Vibe gamertag instead of the account name	显示 Vibe 游戏名以代替账户名	Показать ник Vibe вместо имени аккаунта	アカウント名の代わりに Vibe 名を表示	Vibe-Nam statt Kontonam zoagn
Play local .nes ROM files in a Vibe GUI	在 Vibe 界面中运行本地 .nes 游戏	Играть в локальные ROM .nes в Vibe	Vibe でローカル .nes ROM をプレイ	Lokale .nes-ROMs in Vibe spuin
Removes the vanilla jump delay	移除原版跳跃延迟	Убрать обычную задержку прыжка	通常のジャンプ遅延を除去	Normale Hüpfpausn wegnehma
Preserve movement while using selected items	使用所选物品时保持移动	Сохранять движение при использовании предметов	指定アイテムの使用中も移動を維持	Beim Sachn-Benutzn weidagehn
Interactive ambient particles in selected GUIs	在所选界面中显示交互粒子	Интерактивные частицы в выбранных меню	指定 GUI に反応する粒子を表示	Interaktive Partikel in Menüs
Client-side quality-of-life presentation	客户端便捷显示功能	Удобные визуальные функции клиента	クライアントの表示を便利に調整	Praktische Darstellungsfunktiona
Adjust the client mouse-over reach for entities and blocks	调整实体和方块的光标检测距离	Настроить дальность наведения на сущности и блоки	エンティティとブロックの照準距離を調整	Maus-Reichweitn für Blöck und Ziele eistelln
Create, load and manage Raven BS compatible scripts	创建、加载和管理 Raven BS 兼容脚本	Создавать и загружать скрипты Raven BS	Raven BS 互換スクリプトを作成・管理	Raven-BS-Skripts erstelln und verwaltn
Render animated player skeletons	显示动态玩家骨骼	Показать анимированные скелеты игроков	プレイヤーの動く骨格を表示	Animierte Spuilaskelette zoagn
Sprint while moving forward	前进时疾跑	Спринт при движении вперёд	前進中にダッシュ	Beim Vorwärtsgehn renna
Highlight the active AimAssist target	高亮当前辅助瞄准目标	Подсветить текущую цель AimAssist	エイム補助の現在のターゲットを強調	Aktuelles Ziel von da Zielhilf markiern
Tests MoveFix with a fake server rotation	使用虚拟服务器旋转测试移动修正	Проверить MoveFix с серверным поворотом	仮のサーバー回転で MoveFix をテスト	MoveFix mit Server-Drehung testn
Predicts bow and throwable projectile paths	预测弓箭和投掷物轨迹	Предсказать траектории стрел и снарядов	矢と投げた物の軌道を予測	Flugbahna von Pfeiln und Würfn vorhersagn
Reduce received knockback	减少受到的击退	Уменьшить получаемое отбрасывание	受けるノックバックを軽減	Rückstoß verringern
Show a custom image in the ClickGUI	在点击界面显示自定义图片	Показать своё изображение в ClickGUI	ClickGUI にカスタム画像を表示	Eigenes Buid im Klick-GUI zoagn
Release and re-press forward after a selected hit	在选定命中后松开并重新按下前进	Отпустить и нажать вперёд после удара	指定の命中後に前進キーを押し直す	Nachm Treffer Vorwärts neu druckn
Singleplayer	单人游戏	Одиночная игра	シングルプレイ	Oanzelspui
Multiplayer	多人游戏	Сетевая игра	マルチプレイ	Mehrspuila
Options...	选项…	Настройки…	設定…	Eistellunga…
Quit Game	退出游戏	Выйти из игры	ゲームを終了	Spui beendn
Playing as	当前玩家	Вы играете как	使用中のプレイヤー	Du spuisd ois
Bind	按键绑定	Привязка	キー割り当て	Tastnbindung
Accessories	配饰	Аксессуары	アクセサリー	Zubehär
Unequip	卸下	Снять	装備解除	Ablegn
Skin	皮肤	Скин	スキン	Skin
Only third person	仅第三人称	Только от третьего лица	三人称視点のみ	Bloß dritte Person
Run	运行	Запустить	実行	Startn
Stop	停止	Остановить	停止	Stop
Hide with armor	穿护甲时隐藏	Скрыть под бронёй	防具着用時に非表示	Mit Rüstung ausblendn
Open the Vibe module manager	打开 Vibe 模块管理器	Открыть менеджер модулей Vibe	Vibe モジュール管理を開く	Vibe-Modulverwaltung aufmacha
Edit friends and view live equipment	编辑好友并查看装备	Редактировать друзей и смотреть снаряжение	フレンドと装備を確認・編集	Freind und Ausrüstung oschaun
Create, load and manage Vibe JSON profiles	创建、加载和管理 Vibe 配置	Создание и загрузка профилей Vibe	Vibe 設定ファイルを作成・管理	Vibe-Profile erstelln und verwaltn
Render the selected local and friend cosmetic presets	显示自己和好友的装饰	Показывать косметику игрока и друзей	自分とフレンドのコスメを表示	Eigene und Freind-Kosmetik zoagn
Highlights beds and nearby defensive blocks	高亮床及周围防御方块	Подсветка кроватей и защитных блоков	ベッドと周辺の防御ブロックを強調	Bettn und Schutzblöck markiern
Accounts	账户	Аккаунты	アカウント	Kontn
Alt Manager	账户管理	Менеджер аккаунтов	アカウント管理	Kontnverwaltung
Auto Login	自动登录	Автовход	自動ログイン	Automatisch omeldn
Disable Auto Login	关闭自动登录	Отключить автовход	自動ログインを無効にする	Automatisch omeldn aus
Active	当前使用	Активен	使用中	Aktiv
Active account	当前账户	Активный аккаунт	使用中のアカウント	Aktivs Konto
Use account	使用账户	Войти в аккаунт	アカウントを使用	Konto hernehma
Sign in again	重新登录	Войти снова	再ログイン	No amoi omeldn
Cookie login	Cookie 登录	Вход по cookies	Cookie でログイン	Mit Cookies omeldn
Microsoft login	微软登录	Вход Microsoft	Microsoft ログイン	Microsoft-Omeldung
Offline profile	离线档案	Офлайн-профиль	オフラインプロフィール	Offline-Profil
Launcher account	启动器账户	Аккаунт лаунчера	ランチャーのアカウント	Launcher-Konto
Restore original session	恢复原始会话	Вернуть исходный сеанс	元のセッションを復元	Ursprüngliche Sitzung
More	更多	Ещё	その他	Mehra
Cancel	取消	Отмена	キャンセル	Obbrecha
Remove	移除	Удалить	削除	Entferna
Keep account	保留账户	Оставить аккаунт	アカウントを保持	Konto bhaltn
Import backup	导入备份	Импорт копии	バックアップをインポート	Sicherung eiladn
Export backup	导出备份	Экспорт копии	バックアップをエクスポート	Sicherung ausspeichern
Backup folder	备份文件夹	Папка копий	バックアップフォルダー	Sicherungsordner
Cookie folder	Cookie 文件夹	Папка cookies	Cookie フォルダー	Cookie-Ordner
Open browser	打开浏览器	Открыть браузер	ブラウザーを開く	Browser aufmacha
Copy code	复制代码	Копировать код	コードをコピー	Code kopiern
Copy path	复制路径	Копировать путь	パスをコピー	Pfad kopiern
Search accounts...	搜索账户…	Поиск аккаунтов…	アカウントを検索…	Kontn suachn…
Your accounts appear here	账户将显示在这里	Здесь появятся аккаунты	アカウントがここに表示されます	Do kemman deine Kontn hi
No matching accounts	没有匹配的账户	Аккаунты не найдены	該当するアカウントなし	Koane passenden Kontn
Choose a login method to get started.	选择登录方式以开始。	Выберите способ входа.	ログイン方法を選んでください。	Such da a Omedungsart aus.
Try a different name.	请尝试其他名称。	Попробуйте другое имя.	別の名前を試してください。	Probiers mit am andern Nam.
Add account	添加账户	Добавить аккаунт	アカウントを追加	Konto dazua
Selected account	已选账户	Выбранный аккаунт	選択したアカウント	Ausgwuids Konto
Select a saved account	选择已保存的账户	Выберите сохранённый аккаунт	保存したアカウントを選択	Gspeicherts Konto auswähln
Currently playing	正在使用	Сейчас в игре	現在使用中	Grad im Spui
Sign in	登录	Войти	ログイン	Omeldn
Please wait	请稍候	Подождите	お待ちください	Bittschee wartn
Account operation	账户操作	Операция с аккаунтом	アカウント操作	Konto-Aktion
Automatic account import	自动导入账户	Автоимпорт аккаунтов	アカウントの自動インポート	Kontn automatisch eiladn
Choose a .txt file	选择 .txt 文件	Выберите файл .txt	.txt ファイルを選択	A .txt-Datei auswähln
Continue in your browser	在浏览器中继续	Продолжите в браузере	ブラウザーで続行	Im Browser weida
Singleplayer & local servers	单人游戏和本地服务器	Одиночная игра и локальные серверы	シングルプレイとローカルサーバー	Oanzelspui und lokale Server
Changelog	更新日志	История изменений	更新履歴	Änderunga
Latest & previous updates	最新和以往更新	Новые и прошлые обновления	最新および過去の更新	Neie und oide Updates
Scroll for more	滚动查看更多	Прокрутите дальше	スクロールして続きを表示	Für mehra scrolln
Shaders	着色器	Шейдеры	シェーダー	Shader
Active shader	当前着色器	Активный шейдер	使用中のシェーダー	Aktiver Shader
Enable shader	启用着色器	Включить шейдер	シェーダーを有効化	Shader o
Disable shader	禁用着色器	Выключить шейдер	シェーダーを無効化	Shader aus
Scroll to browse shaders	滚动浏览着色器	Прокрутите список шейдеров	スクロールしてシェーダーを選択	Zum Shader-Suachn scrolln
Shader unavailable on this OpenGL profile	当前 OpenGL 不支持此着色器	Шейдер недоступен в этом OpenGL	この OpenGL ではシェーダーを使用できません	Shader mit dem OpenGL ned verfügbar
Themes	主题	Темы	テーマ	Designs
Theme	主题	Тема	テーマ	Design
Menu theme	菜单主题	Тема меню	メニューのテーマ	Menü-Design
Friend editor	好友编辑器	Редактор друзей	フレンド編集	Freind-Editor
Friends	好友	Друзья	フレンド	Freind
Name	名称	Имя	名前	Nam
Alias	别名	Псевдоним	別名	Spitznam
Cosmetic profile	装饰档案	Профиль косметики	コスメプロフィール	Kosmetik-Profil
Cosmetics	装饰	Косметика	コスメ	Kosmetik
Cosmetics editor	装饰编辑器	Редактор косметики	コスメ編集	Kosmetik-Editor
Live preview	实时预览	Предпросмотр	プレビュー	Vorschau
Select a friend	选择好友	Выберите друга	フレンドを選択	An Freind auswähln
Not in this world	不在此世界	Не в этом мире	このワールドにいません	Ned in dera Welt
None	无	Нет	なし	Koans
New preset	新建预设	Новый пресет	新しいプリセット	Neie Vorlag
Config editor	配置编辑器	Редактор конфигураций	設定ファイル編集	Konfig-Editor
Configs	配置	Конфигурации	設定ファイル	Konfigurationa
Details	详情	Подробности	詳細	Details
New	新建	Создать	新規	Nei
Creator	创建者	Создатель	作成者	Ersteller
Authors	作者	Авторы	作者	Autorn
Created	创建时间	Создано	作成日時	Erstellt
Latest save	最近保存	Последнее сохранение	最終保存	Zuletzt gspeichert
Load with Keybinds	加载按键绑定	Загрузить привязки клавиш	キー割り当ても読み込む	Tastnbindunga mitladn
Load with Visuals	加载视觉设置	Загрузить визуальные настройки	描画設定も読み込む	Optik mitladn
Name (new / rename)	名称（新建 / 重命名）	Имя (создание / переименование)	名前（新規作成 / 名前変更）	Nam (nei / umbenenna)
No matching configs	没有匹配的配置	Конфигурации не найдены	該当する設定ファイルなし	Koane passenden Konfigurationa
Select a configuration to inspect it.	选择配置以查看详情。	Выберите конфигурацию для просмотра.	設定ファイルを選んで詳細を表示。	Wähl a Konfiguration zum Oschaun.
Open	打开	Открыть	開く	Aufmacha
Modules	模块	Модули	モジュール	Module
Press key	按下按键	Нажмите клавишу	キーを押してください	Tastn druckn
Primary Color	主颜色	Основной цвет	基本色	Hauptfarb
Secondary Color	次颜色	Второй цвет	補助色	Zwoate Farb
Outline Color	轮廓颜色	Цвет контура	輪郭の色	Randfarb
Fill Color	填充颜色	Цвет заливки	塗りつぶしの色	Füllfarb
Outline Mode	轮廓模式	Режим контура	輪郭モード	Randart
Fill Mode	填充模式	Режим заливки	塗りつぶしモード	Füllart
Outline Primary Color	轮廓主颜色	Основной цвет контура	輪郭の基本色	Rand-Hauptfarb
Outline Secondary Color	轮廓次颜色	Второй цвет контура	輪郭の補助色	Zwoate Randfarb
Fill Primary Color	填充主颜色	Основной цвет заливки	塗りつぶしの基本色	Füll-Hauptfarb
Fill Secondary Color	填充次颜色	Второй цвет заливки	塗りつぶしの補助色	Zwoate Füllfarb
Outline Width	轮廓宽度	Толщина контура	輪郭の太さ	Randbreitn
Outline Size	轮廓大小	Размер контура	輪郭のサイズ	Randgröß
Animation Speed	动画速度	Скорость анимации	アニメーション速度	Animationsgschwindigkeit
Break Animation	破坏动画	Анимация разрушения	破壊アニメーション	Abbau-Animation
Through Walls	穿墙显示	Сквозь стены	壁越しに表示	Durch Wänd
View Distance	显示距离	Дальность отображения	表示距離	Sichtweitn
Fade Alpha At Max	远处淡出	Затухание вдали	遠距離でフェードアウト	In da Fern ausblendn
Wool Alpha	羊毛透明度	Непрозрачность шерсти	羊毛の不透明度	Woll-Deckkraft
Bed Color Mode	床颜色模式	Режим цвета кровати	ベッドの色モード	Bett-Farbart
Bed Fill	床填充	Заливка кровати	ベッドの塗りつぶし	Bett-Füllung
Bed Outline	床轮廓	Контур кровати	ベッドの輪郭	Bettrand
Highlight Near Beds	高亮床附近方块	Подсветка блоков у кроватей	ベッド周辺のブロックを強調	Blöck beim Bett markiern
Wool	羊毛	Шерсть	羊毛	Woll
Custom	自定义	Свой	カスタム	Eigene
Obsidian	黑曜石	Обсидиан	黒曜石	Obsidian
Wood	木头	Дерево	木材	Hoiz
Glass	玻璃	Стекло	ガラス	Glas
Endstone	末地石	Эндерняк	エンドストーン	Endstein
Obsidian Fill	黑曜石填充	Заливка обсидиана	黒曜石の塗りつぶし	Obsidian-Füllung
Obsidian Outline	黑曜石轮廓	Контур обсидиана	黒曜石の輪郭	Obsidian-Rand
Wood Fill	木头填充	Заливка дерева	木材の塗りつぶし	Hoiz-Füllung
Wood Outline	木头轮廓	Контур дерева	木材の輪郭	Hoizrand
Glass Fill	玻璃填充	Заливка стекла	ガラスの塗りつぶし	Glas-Füllung
Glass Outline	玻璃轮廓	Контур стекла	ガラスの輪郭	Glasrand
Endstone Fill	末地石填充	Заливка эндерняка	エンドストーンの塗りつぶし	Endstein-Füllung
Endstone Outline	末地石轮廓	Контур эндерняка	エンドストーンの輪郭	Endstein-Rand
Players	玩家	Игроки	プレイヤー	Spuila
Players Only	仅玩家	Только игроки	プレイヤーのみ	Bloß Spuila
Animals	动物	Животные	動物	Viecher
Mobs	生物	Мобы	モブ	Mobs
Invisibles	隐身实体	Невидимые	透明なエンティティ	Unsichtbare
Ignore Teammates	忽略队友	Игнорировать союзников	味方を除外	Teamkollegn ignoriern
Teammate Detection	队友检测	Определение союзников	味方の判定	Teamkollegn erkenna
Targets	目标	Цели	ターゲット	Ziele
Target Mode	目标模式	Выбор цели	ターゲット選択	Zielart
Target Area	目标区域	Область цели	狙う範囲	Zielbereich
Only Targets	仅目标	Только цели	ターゲットのみ	Bloß Ziele
Max Distance	最大距离	Макс. расстояние	最大距離	Größte Entfernung
Clicking Range	点击距离	Дальность кликов	クリック距離	Klick-Reichweitn
Clicking Mode	点击模式	Режим кликов	クリックモード	Klickart
Blocking Range	格挡距离	Дальность блока	ガード距離	Block-Reichweitn
Autoblock Mode	自动格挡模式	Режим автоблока	自動ガードモード	Automatische Blockart
Rotation Mode	旋转模式	Режим поворота	回転モード	Drehart
Rotation Speed	旋转速度	Скорость поворота	回転速度	Drehgschwindigkeit
Rotation Acceleration	旋转加速度	Ускорение поворота	回転加速度	Drehbeschleunigung
Yaw Aimpoint	水平瞄准点	Точка по горизонтали	水平方向の照準点	Waagrechts Ziel
Pitch Aimpoint	垂直瞄准点	Точка по вертикали	垂直方向の照準点	Senkrechts Ziel
Max Angle	最大角度	Макс. угол	最大角度	Größter Winkel
Aim Through Walls	穿墙瞄准	Прицел сквозь стены	壁越しに照準	Durch Wänd zieln
Aim Vertically	垂直瞄准	Прицел по вертикали	垂直方向に照準	Senkrecht zieln
Not In Inv	物品栏打开时停用	Не в инвентаре	インベントリ表示中は停止	Ned im Inventar
Not When BlockBreaking	挖掘时停用	Не при добыче блоков	採掘中は停止	Ned beim Abbaun
Only When Rightclicking	仅右键时	Только при правом клике	右クリック中のみ	Bloß beim Rechtsklick
Piercing	穿透	Пробивание	貫通	Durchstecha
Center	中心	Центр	中心	Mittn
Closest	最近点	Ближайшая точка	最も近い点	Nächster Punkt
Acceleration	加速度	Ускорение	加速度	Beschleunigung
CPS Range	点击速度范围	Диапазон CPS	CPS の範囲	Klickbereich
Normal CPS	普通点击速度	Обычный CPS	通常の CPS	Normale Klicks
Butterfly CPS	蝴蝶点击速度	CPS бабочкой	バタフライ CPS	Butterfly-Klicks
Drag CPS	拖动点击速度	CPS драг-клика	ドラッグ CPS	Drag-Klicks
Randomize CPS	随机点击速度	Случайный CPS	CPS をランダム化	Klicks zufällig
Hold To Click	按住以点击	Кликать при удержании	押している間クリック	Zum Klickn haltn
Require Mouse Down	需要按住鼠标	Требовать нажатие мыши	マウス長押しが必要	Mausdruck braucht
Pause On Hurt	受伤时暂停	Пауза при уроне	ダメージ時に停止	Bei Schodn pausiern
Held Item	手持物品	Предмет в руке	手持ちアイテム	Sach in da Hand
Names	名称	Имена	名前	Nama
Name Color	名称颜色	Цвет имени	名前の色	Namensfarb
Health Bar	生命条	Полоса здоровья	体力バー	Lebnsbalkn
